replicate,model_boot_mean,scenario_cluster_model_weighted_boot_mean,scenario_simple_boot_mean
187,0.7483482103024122,0.7487106628349498,0.7329978608112749
188,0.7512043275206677,0.703893047461455,0.7316520204686825
189,0.7423458198717776,0.767495469410705,0.728320539720212
190,0.7553059350647502,0.7519028802899195,0.754448884062507
191,0.7402775050971793,0.7227509780667759,0.733803375429212
192,0.7413193446644734,0.7782792535151938,0.7488485116804734
193,0.7487441247900855,0.7185253297180811,0.7731781837225242
194,0.7552804101705631,0.6988282821505487,0.7288545494429421
195,0.7545931647053193,0.7679906929613609,0.7526369998708489
196,0.7199231893643091,0.7380900594709753,0.7720856383401425
197,0.7507782847798604,0.7135966102484468,0.7242827973907875
198,0.7273559030318786,0.7090400905337297,0.7089542406327597
199,0.7457429875813175,0.7872564090311791,0.7472243395985567
200,0.7325413168403552,0.7102471988374405,0.7692823016050306
201,0.7283933467059235,0.7230984874440807,0.7305069282219927
202,0.7316037374837393,0.7535008670424344,0.7103108795863637
203,0.740315450082936,0.7596963298261953,0.7021152648915282
204,0.7572692732802275,0.7828583390293353,0.7501514560087196
205,0.7366094952111795,0.7502217208265259,0.7240569647741558
206,0.7482254813876488,0.7910425796764559,0.7168099523350584
207,0.7450317727907144,0.7057221916903813,0.7285204025897588
208,0.7375348287451248,0.716303849103177,0.735457099542524
209,0.7449197679270715,0.7619089046950525,0.741543982317074
210,0.7539127183894234,0.7682056794007222,0.7493285492798197
211,0.7439834599689358,0.759325946414273,0.7394518381835697
212,0.7441606349772913,0.7520251565600649,0.7662628423473038
213,0.7478707499893207,0.7264131986501395,0.7335634659749394
214,0.7291372251719908,0.7453237360482527,0.7307279057647739
215,0.7670127988813809,0.751582810329428,0.7698024312115086
216,0.7556686729313904,0.7417307250828294,0.7476852771419581
217,0.7447848099888861,0.7552510942245004,0.7312807058774073
218,0.740815641580536,0.7253115613399291,0.7677534793472096
219,0.7411013098661972,0.7541547855657973,0.7361021114909629
220,0.7521524327258287,0.7337577392661412,0.7620547040698694
221,0.73643157779201,0.7613200507293869,0.7290049358541283
222,0.7363113584165774,0.7481777986599377,0.7316447152689587
223,0.7487511270322362,0.7726339727282295,0.8072711752744345
224,0.7664107553194289,0.699241533755805,0.7224477387768501
225,0.7488851629337372,0.6992319168704291,0.7138590718051064
226,0.7513354729029196,0.7569036370415432,0.7306934560101698
227,0.7550909312573446,0.7498587281888375,0.7741235925916811
228,0.7489906945428954,0.7596894615574094,0.7238070241981159
229,0.7564700229513409,0.7781450105206378,0.7150534251909075
230,0.7367560213110977,0.7242478404884256,0.7894303363155419
231,0.7323222163318404,0.781216121068877,0.7180273047976033
232,0.7522628426011594,0.7276418820570341,0.7590582732126124
